index,Pathway,Super_class,Class
C=C(C)C1Cc2c(cc3oc(-c4ccc(O)c(OC)c4)c(OC)c(=O)c3c2OC)O1,Shikimates and Phenylpropanoids,Flavonoids,Flavonols
CCCCCCCCCCCCCCCCCCC(O)C(=O)O,Fatty acids,Fatty Acids and Conjugates,Hydroxy fatty acids
CCCCCCCC/C=C\CCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCC/C=C\CCCCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
Cc1ccc2c(c1)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43,Alkaloids,Tryptophan alkaloids,Strychnos type
CCCCC/C=C\C/C=C\C/C=C\CCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
CCCCCCCCC/C=C\CCC/C=C\CCCCCC(=O)O,Fatty acids,Fatty Acids and Conjugates,Unsaturated fatty acids
CC1=CCC(C(C)C)C2CC(C)CC=C12,Terpenoids,Sesquiterpenoids,Cadinane sesquiterpenoids
CCCC(=O)N1CC2(CN(C(=O)NC(C)C)C2)c2c([nH]c3cc(OC)ccc23)[C@H]1CO,Alkaloids,Tryptophan alkaloids,Carboline alkaloids
NCC(O)c1c2cc(O)c(O)c1OC(=O)C(N)CCC(=O)O2,Alkaloids,Tyrosine alkaloids,Phenylethylamines
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](COP(=O)(O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,Fatty acids,Glycerophospholipids,Glycerophosphoinositols
COc1cc2c(cc1Oc1cc(OC)c(O)c3c1CC1c4c(cc(OC)c(OC)c4-3)CCN1C)CC1c3c(cc(OC)c(OC)c3-2)CCN1C,Alkaloids,Tyrosine alkaloids,Aporphine alkaloids
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCC)COP(=O)(O)OCCN,Fatty acids,Glycerophospholipids,Glycerophosphoethanolamines
CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC,Fatty acids,Glycerolipids,Triacylglycerols
CC(c1ccccc1)C1N=C([O-])C[NH+]=C(O)C(CO)NC(=O)C(C(O)C2CNC(N)=[N+]2C2OC(CO)C(O)C(O)C2O)NC(=O)C(C(O)C2C[NH+]=C(N)N2)NC(=O)C(Cc2ccc(OC3OC(CO)C(OC4OC(CO)C(O)C(O)C4O)C(O)C3O)cc2)NC1=O,Amino acids and Peptides,Oligopeptides,Cyclic peptides
CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC,Fatty acids,Glycerolipids,Triacylglycerols
CC(=O)CCCc1cccc(=O)o1,Polyketides,Cyclic polyketides,2-pyrone derivatives
CCCCCc1cc(C)c(CCCCCCCCCCC(=O)O)o1,Fatty acids,Fatty Acids and Conjugates,Heterocyclic fatty acids
CCC1C=CC=CCC(C)C(O)C(C)C(=O)CC(O)C(C)C(O)C(C)C(O)C(C)C=CC(=O)OC2C(C)C(CC1)OC1(CCC(C)C(CC(C)O)O1)C2C,Polyketides,Macrolides,Oligomycins
CCC(C)C1NC(=O)C(Cc2ccc(OC)cc2)N(C)C(=O)C(C(C)O)N2C(=O)C(CCC2O)NC(=O)C(CCc2ccc(O)cc2)NC(=O)C(NC(=O)C(CCC(N)=O)NC=O)C(C)OC1=O,Amino acids and Peptides,Oligopeptides,Cyanopeptolins
O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(OC3OC(C(=O)O)C(O)C(O)C3O)c21,Shikimates and Phenylpropanoids,Flavonoids,Flavanones
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCCCC)COP(=O)(O)OC[C@H](N)C(=O)O,Fatty acids,Glycerophospholipids,Glycerophosphoserines
CC1=CCCC2C1(C)CCC1C2(CO)CCC2(C)C3CCC(C(C)C)C3(C)CCC12C,Terpenoids,Triterpenoids,Filicane triterpenoids
C=C1C(=O)OC2C=C(C)CCC=C(C)CCC3OC3(C)C(OC(C)=O)CC12,Terpenoids,Diterpenoids,Cembrane diterpenoids
CC1CCC2(C(C)C)CC12O,Terpenoids,Monoterpenoids,Thujane monoterpenoids
CC1(C)CCCC2(C)C1CCC1(C)C2CCC2C3(C)CCC(C(CO)CC(O)C(O)C(O)C(O)CN)C3CCC21C,Terpenoids,Triterpenoids,Hopane and Moretane triterpenoids
O=C1CC(O)C(C2=CC(=O)c3c(O)cccc3C2=O)O1,Polyketides,Naphthalenes,Naphthoquinones
CCCCCCCCCCCCCCCCC(C)CCCCCCCC(C)C(C)=O,Fatty acids,Fatty acyls,Oxygenated hydrocarbons
C=C1C2CCC(COC(C)=O)C23CCC(C3)C1(C)C,Terpenoids,Sesquiterpenoids,Zizaane sesquiterpenoids
CCCCCCCCC(OC(C)=O)C(CCCCCCCCCCCCCCCCCCCCCc1cc(OC)c(OC(C)=O)c(O[C@@H]2CC[C@@H](C(C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)OC(C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)[C@@H]3CC[C@@H](C(C)(O)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O3)O[C@@]2(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)c1)Oc1c(C)c(C)c2c(c1C)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,Terpenoids,Carotenoids (C40),"Carotenoids (C40, 顆-顆)"
CCCCCCCCCCCCCCC[C@@H](O)[C@H](COP(=O)(O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O)NC(=O)C(O)CCCCCCCCCCCCCC,Fatty acids,Spingolipids,Phosphosphingolipids
C=CC(C)(C)OCC1NC(=O)CNC(=O)C2CCCN2C(=O)C(C(C)CC)NC(=O)C2CSC(=N2)C(CC(C)C)NC1=O,Amino acids and Peptides,Oligopeptides,Cyclic peptides
C=C1CC(O)C2(C)CC1C1(C)CCCC21C,Terpenoids,Sesquiterpenoids,Gymnomitrane sesquiterpenoids
CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@H](COCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,Fatty acids,Glycerophospholipids,Glycerophosphoethanolamines
O=C1NC(Cc2c[nH]c3ccccc23)C(=O)NC1Cc1c[nH]c2ccccc12,Amino acids and Peptides,Peptide alkaloids,"Indole diketopiperazine alkaloids (L-Trp, L-Trp)"
C=CCc1cc2c(c3c1OC(c1cc(OC)c(OC)c(OC)c1)C3C)OCO2,Shikimates and Phenylpropanoids,Lignans,Neolignans
CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
COc1cc(CC2COC(=O)C2Cc2ccc(OC3OC(CO)C(O)C(O)C3O)c(OC)c2)ccc1O,Shikimates and Phenylpropanoids,Lignans,Dibenzylbutyrolactone lignans
NC[C@@H]1CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)O1,Carbohydrates,Polyols,Amino cyclitols
Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,Carbohydrates,Nucleosides,Pyrimidine nucleosides
CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC)COP(=O)([O-])OCC[N+](C)(C)C,Fatty acids,Glycerophospholipids,Glycerophosphocholines
C=C1CC2OC(C3C(C(C)C)C(OC(C)=O)C(OC(C)=O)C(C)(OC(C)=O)C23)C(C)(OC(C)=O)CCC1OC(C)=O,Terpenoids,Diterpenoids,Eunicellane diterpenoids
CCCCCCCCCCCCCCCCCCOc1ccc(C(=O)C=Cc2ccc(SC)cc2)cc1,Shikimates and Phenylpropanoids,Flavonoids,Chalcones
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](COP(=O)(O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O)OC(=O)CCCCCCCCCCCCCCC,Fatty acids,Glycerophospholipids,Glycerophosphoinositols
CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H]([NH+](C)C)C([O-])=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,Polyketides,Polycyclic aromatic polyketides,Tetracyclines
CCC[C@@H](O)[C@@H]1O[C@H]1C(O)[C@@H]1C[C@H](C)C(=O)O1,Polyketides,Linear polyketides,Open-chain polyketides
COc1ccc2c3c(n(C)c2c1)[C@H](CO)N(C)CC31CCN(C(=O)CN2CCOCC2)CC1,Alkaloids,Tryptophan alkaloids,Carboline alkaloids
CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NC1C(=O)NC(C(O)C(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCCN=C(N)N)C(=O)NC(C(C)C)C(=O)NC(C(C)O)C(=O)NCC(=O)NC(C(O)C(N)=O)C(=O)NC(CO)C(=O)OC1c1ccccc1,Polyketides,Oligopeptides,Depsipeptides
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C(=O)[C@]2(C)C[C@@H](O)CC2(C)C)C(C)(C)CCC1,Terpenoids,Carotenoids (C40),"Carotenoids (C40, 棺-觀)"
CC(=O)OC(C(C)CC(C)C(O)C(C)C(C)O)C(C)CC(C)C1OC(=O)C(C)NC(=O)CC(O)CC(O)C(C)CC1C,Amino acids and Peptides,Macrolides,Lactam bearing macrolide lactones
CC(C)=CCCC(C)C1C(O)CC2(C)C3=CCC4C(C)(C)C(=O)CCC4(C)C3CCC12C,Terpenoids,Triterpenoids,"Lanostane, Tirucallane and Euphane triterpenoids"
CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O)OC(=O)CCCC(O)/C=C/C=O,Fatty acids,Glycerophospholipids,Oxidized glycerophospholipids
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCC/C=C\CCCCCCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
CC(/C=C/C=C(C)/C=C/C(=O)[C@]1(C)C[C@@H](O)CC1(C)C)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\[C@@]12O[C@]1(C)CCCC2(C)C,Terpenoids,Carotenoids (C40),"Carotenoids (C40, 棺-觀)"
CCC(O)CCCCC1CCC2(CC3OC(=O)C(C)(C)C3O2)O1,Polyketides,Linear polyketides,Open-chain polyketides
O=C(Cc1c[nH]c2cc(Br)ccc12)NC(Cc1cnc[nH]1)C(=O)O,Alkaloids,Histidine alkaloids,Imidazole alkaloids
COc1cc(CNC(=O)C(C)CCCC=CC(C)C)ccc1O,Alkaloids,Pseudoalkaloids (transamidation),Capsaicins and Capsaicinoids
O=C(O)CC(=O)OCC1OC(Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)C(O)C1O,Shikimates and Phenylpropanoids,Flavonoids,Anthocyanidins
C=C(O)CC(=C)OCC1OC(Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(OC3OC(CO)C(O)C(O)C3O)c(O)c2)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1O,Shikimates and Phenylpropanoids,Flavonoids,Anthocyanidins
C=C(COC(C)=O)[C@@H]1CC[C@@H](C)[C@H]2CC(=O)C(COC(C)=O)=C2[C@@H]1O,Terpenoids,Sesquiterpenoids,Guaiane sesquiterpenoids
CCCC#CC#CCCCCCCCCCCC(=O)O,Fatty acids,Fatty Acids and Conjugates,Unsaturated fatty acids
CCC(C)C(=O)C1=C2C3=COC([C@H]4C(=O)C=CC[C@@H]4C)=CC3=CC(=O)[C@@]2(C)OC1=O,Polyketides,Chromanes,Azaphilones
CCCCCCCCCCCCCCCCCC(O)CO[C@H]1OC(CO)[C@@H](O)C(O)[C@@H]1O,Fatty acids,Fatty acyl glycosides,Fatty acyl glycosides of mono- and disaccharides
CCOC(C)OCC=C(C)CCC=C(C)C,Terpenoids,Monoterpenoids,Acyclic monoterpenoids
O=C1c2c(O)cc(O)cc2OC(c2ccc(O)cc2)C1c1c(O)cc(O)c2c(=O)cc(-c3ccc(OC4OC(CO)C(O)C(O)C4O)c(O)c3)oc12,Shikimates and Phenylpropanoids,Flavonoids,Flavones
C/C=C/C/C=C\CCCCCCCCOC(=O)CC,Fatty acids,Fatty esters,Wax monoesters
CCCCCCCCCCCCCCCCCCOC[C@H](COP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCC,Fatty acids,Glycerophospholipids,Glycerophosphates
COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c5scnc5c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,Polyketides,Macrolides,Ansa macrolides
CCC(C)CC/C=C\C/C=C\CCCCCCCC(=O)O,Fatty acids,Octadecanoids,Other Octadecanoids
COc1cc(C=CCO)cc(O)c1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
CC1CCC2C1C1C(CCC2(O)CO)C1(C)C,Terpenoids,Sesquiterpenoids,Aromadendrane sesquiterpenoids
C=C(C)C1CC(O)C(C)C2(C=C(C)C(=O)C2)C1O,Terpenoids,Sesquiterpenoids,Spiroaxane sesquiterpenoids
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O)OC(=O)CCCCCCCCCCCCCC,Fatty acids,Glycerophospholipids,Glycerophosphoinositols
CC1CCC2(OC1)OC1CC3C4CC=C5CC(OC(=O)C(N)CCCN=C(N)N)CCC5(C)C4CCC3(C)C1C2C,Terpenoids,Steroids,Spirostane steroids
C=C1C(=O)OC2C(=O)C(C)=CCCC(C)=CCCC3(CO)OC3CC12,Terpenoids,Diterpenoids,Cembrane diterpenoids
CC1=C2C=C(C(C)C)C(=O)CC2(C)CCC1=O,Terpenoids,Sesquiterpenoids,Eudesmane sesquiterpenoids
O=C(O)C1=CC(O)C(O)C(OC(=O)C2C(c3ccc(O)c(O)c3)Oc3cc(O)cc4c3C2C(O)C(c2ccc(O)c(O)c2)O4)C1,Shikimates and Phenylpropanoids,Flavonoids,Flavan-3-ols
CCCCCCCC/C=C/CCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCC/C=C/CCCCCCCC,Fatty acids,Glycerophospholipids,Glycerophosphocholines
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCCCCCCCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
C=CCN1CCC23c4c5ccc(OC6OC(C(=O)OC)C(OC(C)=O)C(OC(C)=O)C6OC(C)=O)c4OC2C(=O)CCC3(O)C1C5,Alkaloids,Tyrosine alkaloids,Morphinan alkaloids
COc1cc2c(c3c1c(=O)c1cc4ccccc4cc1n3C)C=CC(C)(C)O2,Alkaloids,Anthranilic acid alkaloids,Acridone alkaloids
Nc1ncnc2c1ncn2C1CC(O)C(CO)O1,Carbohydrates,Nucleosides,Purine nucleosides
C=C1C=CC=C(C)C(=O)Nc2c(O)c3c(O)c(C)c4c(c3c3c2=NC2(CCN(CC(C)C)CC2)N=3)C(=O)C(C)(OC=CC(OC)C(C)C(OC(C)=O)C(C)C(O)C(C)C1O)O4,Polyketides,Macrolides,Ansa macrolides
COc1cc(C2Oc3c(ccc(OC)c3OC)C(OC)C2O)ccc1O,Shikimates and Phenylpropanoids,Flavonoids,Flavandiols (Leucoanthocyanidins)
CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CC(O)C4(C)C3CC(O)C12C,Terpenoids,Steroids,Cholane steroids
CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
Cc1cc2c(C)c(O)c(O)c(O)c2c(=O)o1,Shikimates and Phenylpropanoids,Coumarins,Isocoumarins
CC(=O)CCCC(C)C1CCC(C)=CC1=O,Terpenoids,Sesquiterpenoids,Bisabolane sesquiterpenoids
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
CC1NC(=O)C(CC2(O)c3ccccc3N3C(=O)C(C(C)C)NC32)n2c1nc1ccccc1c2=O,Alkaloids,Anthranilic acid alkaloids,Quinazoline alkaloids
CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,Fatty acids,Glycerophospholipids,Glycerophosphocholines
COc1ccc2c3c(n(C)c2c1)[C@@H](CO)N(C(=O)C1CCOCC1)CC31CN(C(=O)Nc2cccc(F)c2)C1,Alkaloids,Tryptophan alkaloids,Carboline alkaloids
CC1OC(Oc2ccc(-c3cc(=O)c4c(O)cc(O)c(C5OC(CO)C(O)C(O)C5O)c4o3)cc2)C(O)C(O)C1O,Shikimates and Phenylpropanoids,Flavonoids,Flavones
COc1cc(OC)c2[nH]c3cc(O)c(C=O)cc3c2c1,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids
CCCCCCCCCCCCCCCCOC[C@H](COP(=O)(O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O)OC(=O)CCCCCCCCCCCCCCC,Fatty acids,Glycerophospholipids,Glycerophosphoinositols
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC,Fatty acids,Glycerophospholipids,Glycerophosphoglycerophosphoglycerols
CCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O)OC(=O)CCCCCCCCCCCCCCCCCCCCC,Fatty acids,Glycerophospholipids,Glycerophosphoinositols
CCCC(=O)OC1C=CC2C3Cc4ccc(O)c5c4C2(CCN3C)C1O5,Alkaloids,Tyrosine alkaloids,Morphinan alkaloids
CC1=CC(=O)c2c(ccc(O)c2O)C1=O,Polyketides,Naphthalenes,Naphthoquinones
CC(C)=CCc1c(O)ccc(C=CC(=O)c2ccc(O)cc2O)c1O,Shikimates and Phenylpropanoids,Flavonoids,Chalcones
C[NH2+][C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1CC(C)C=O,Alkaloids,Tryptophan alkaloids,Ergot alkaloids
CC(=O)Oc1cc(C(C)C)ccc1C,Terpenoids,Monoterpenoids,Menthane monoterpenoids
CC1(O)CC(O)C2C=COC(OC3OC(COC4CC5C(O)CC(C)(O)C5C(OC5OC(CO)C(O)C(O)C5O)O4)C(O)C(O)C3O)C21,Terpenoids,Monoterpenoids,Iridoids monoterpenoids
C=C1C(=O)[C@@]23C[C@H](O)[C@@H]4[C@](C)(C(=O)O)CCC[C@@]4(C)C2=CC[C@]1(O)C3,Terpenoids,Diterpenoids,Kaurane and Phyllocladane diterpenoids
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OCCNCCCc2ccccc2)CC(C)C(=O)C(C)C(O)C1(C)O,Polyketides,Macrolides,Erythromycins
CC1(CO)C(O)CCC2(C)C1C(=O)CC1CC3CC12CCC3(O)CO,Terpenoids,Diterpenoids,Tetracyclic diterpenoids
C=C1C(=O)OC2C=C(COC(=O)C=C(C)C)CCC=C(C)C(OC(C)=O)CC12,Terpenoids,Sesquiterpenoids,Germacrane sesquiterpenoids
CCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O)OC(=O)CCCCCCCCCCCCCCCCCCC,Fatty acids,Glycerophospholipids,Glycerophosphoinositols
CN(C(Cc1ccc(O)c(O)c1)C(=O)O)C1OC(CO)C(O)C(O)C1O,Alkaloids,Tyrosine alkaloids,Phenylethylamines
CC(=O)OC1CC2(C)C(CCC3C4(C)CCC(O)C(C)C4C(OC(C)=O)C(O)C32C)C1=C(CCC=C(C)C)C(=O)O,Terpenoids,Triterpenoids,Fusidane triterpenoids
C/C=C\CCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,Fatty acids,Glycerophospholipids,Glycerophosphocholines
CC(C)CC(C)CCCC(C)(C)C,Fatty acids,Fatty acyls,Hydrocarbons
CC=C(C)C(=O)OC1c2cc(OC)c(OC)c(OC)c2-c2c(cc3c(c2O)OCO3)C(OC(C)=O)C(C)C1C,Shikimates and Phenylpropanoids,Lignans,Dibenzocyclooctadienes lignans
CCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,Fatty acids,Glycerophospholipids,Glycerophosphocholines
NCCCOc1oc(=O)c2ccccc2c1Cl,Shikimates and Phenylpropanoids,Coumarins,Isocoumarins
OCCCCCCCCC1CCC2C(C1)C1C3CCC3C21,Fatty acids,Fatty acyls,Fatty alcohols
COc1ccc2cc3[n+](cc2c1OCC[n+]1cccc(C)c1)CCc1cc2c(cc1-3)OCO2,Alkaloids,Tyrosine alkaloids,Isoquinoline alkaloids
C#CCOc1ccc(C(=O)C=Cc2ccccc2)cc1,Shikimates and Phenylpropanoids,Flavonoids,Chalcones
O=C1c2c(O)cccc2C(C2c3cccc(O)c3C(=O)c3c(O)cccc32)c2cccc(O)c21,Polyketides,Polycyclic aromatic polyketides,Anthraquinones and anthrones
CCCCC(=O)Oc1c(OC)ccc2c1C13CCN(C)C(C2)C1C=C(OC)C(=O)C3,Alkaloids,Tyrosine alkaloids,Morphinan alkaloids
CC(C)C1C=C2CCC3C(C)(CO)CCCC3(C)C2CC1,Terpenoids,Diterpenoids,Abietane diterpenoids
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\CCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
COc1cc2cc(c1O)Oc1ccc(cc1)CCC(=O)/C=C\C=C/2,Shikimates and Phenylpropanoids,Diarylheptanoids,Diarylether type diarylheptanoids
CCCC1CC2CCC(O2)C(CC)C(=O)OC(C(CC)C2CCC(CC(CCC)N(C)C)O2)C(C)C2CCC(O2)C(C)C(=O)O1,Polyketides,Polyethers,Macrotetrolides
Cc1c(C)c2c(c(C)c1O)CC(OC(=O)COc1ccc(Cl)cc1)C(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,Terpenoids,Meroterpenoids,Prenyl quinone meroterpenoids
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\CCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
C=C1CC23CCC1CC2C1(C)CCCC(C)(C(=O)OC)C1CC3,Terpenoids,Diterpenoids,Atisane diterpenoids
CCC(C)C(C(=O)c1cc(C(OC)C(C)C)c(O)c(C=O)c1O)C1CC(O)C2(OC2CC)C(O)O1,Polyketides,Aromatic polyketides,Luminacins and derivatives
COC1=CC(=O)N(C(=O)C(C)C(CCCCC(Cl)(Cl)C(C)(Cl)Cl)OC(N)=O)C1C,Amino acids and Peptides,Oligopeptides,Microcolins and mirabimids
O=C1c2ccccc2C(=C2c3ncccc3C(=O)c3cccnc32)c2ccccc21,Polyketides,Polycyclic aromatic polyketides,Anthraquinones and anthrones
CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,Fatty acids,Glycerophospholipids,Glycerophosphocholines
CC(CCC1(C)C(C)CCC23COC(=O)C2=CCCC31)CC(=O)O,Terpenoids,Diterpenoids,Colensane and Clerodane diterpenoids
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@](C)(CCCC(C)(C)O)OC)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,Terpenoids,Steroids,Vitamin D3 and derivatives
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](COP(=O)(O)O)OC(=O)CCCCCCC/C=C\CCCCCCCCC,Fatty acids,Glycerophospholipids,Glycerophosphates
CC1C(=O)C=C2C(CCCC2(C)CO)C1(C)CCc1ccoc1,Terpenoids,Diterpenoids,Halimane diterpenoids
COc1ccc(SCC2c3cccc(O)c3C(O)=C3C(=O)C4(O)C(O)=C(C(N)=O)C(=O)C(N(C)C)C4C(O)C32)cc1,Polyketides,Polycyclic aromatic polyketides,Tetracyclines
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,Carbohydrates,Nucleosides,Purine nucleotides
CCC(C)CCCCCCCCCCCOC(C)=O,Fatty acids,Fatty esters,Wax monoesters
O=C(C=Cc1ccc(O)c(O)c1)OCC1OC(Oc2cc3c(OC4OC(CO)C(O)C(O)C4O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)C(O)C(O)C1O,Shikimates and Phenylpropanoids,Flavonoids,Anthocyanidins
CCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)(O)OC[C@@H](O)CO)OC(=O)CCCCCCCCCCCCCC,Fatty acids,Glycerophospholipids,Glycerophosphoglycerols
C=C1C(=O)OC2C=C(C)CCC=C(C)C(OC(=O)C(C)=CC)C(OC(C)=O)C12,Terpenoids,Sesquiterpenoids,Germacrane sesquiterpenoids
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@@H](CO)COC(=O)CCCCCCC/C=C\CCCC,Fatty acids,Glycerolipids,Diacylglycerols
